Node,AlgoValue,ExactValue,AbsDiff,PercError
16,0.8203333250384148,0.8203333250382961,1.1868284133242923e-13,1.44676362290766e-11
15,0.8310170848230528,0.8310170848230483,4.551914400963142e-15,5.477522043884813e-13
12,0.7873787414890904,0.7873787414890883,2.1094237467877974e-15,2.679045846219396e-13
11,0.8181830922023282,0.8181830922023272,9.992007221626409e-16,1.2212434254453526e-13
8,0.6964265679573409,0.6964265679573403,6.661338147750939e-16,9.565025882468889e-14
4,0.8252025224095163,0.8252025224095159,4.440892098500626e-16,5.3815784342655997e-14
6,0.8658844470124533,0.8658844470124536,3.3306690738754696e-16,3.846551448483941e-14
14,0.8190585233009999,0.8190585233010003,3.3306690738754696e-16,4.0664604288007195e-14
10,0.6813664110000001,0.6813664110000002,1.1102230246251565e-16,1.629406743129221e-14
7,0.8597858863670875,0.8597858863670875,0.0,0.0
1,0.9,0.9,0.0,0.0
2,0.86751,0.86751,0.0,0.0
3,0.9,0.9,0.0,0.0
5,0.7290000000000001,0.7290000000000001,0.0,0.0
9,0.8411931,0.8411931,0.0,0.0
13,0.9,0.9,0.0,0.0
